Ville,Chanson,Artiste,complete_address,lat,lng,spotify
Paris,Paris en bourlinguant ,Marc et André,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7Jg8p3y85wNURmAgUre7Qj
Paris,Paris en colère ,Mireille Mathieu,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5y4IZPCT9c0yHFL0LCFvFO
Paris,Paris est tout seul ce matin ,René-Louis Lafforgue,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3chigi0cuDySasO5YQgH4T
Paris,"Paris, gare de l'Est ",Öz,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1gZJfCOvr8evtB65DT6Fhu
Paris,Paris Gavroche ,Jean Ferrat,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/72TtJUivsz64pmoC74NdvF
Paris,Paris Is Beautiful ,Francesca Solleville,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1zxva373CYofDS94DIot4M
Paris,Paris Is Burning ,St. Vincent,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/578FIsUqu9S7Acy7TNtJTq
Paris,Paris Is Burning ,Ladyhawke,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0fcWIzRDyYZXIbAF18VOXa
Paris,Paris jadis ,Philippe Marielle et Jean Rochefort ,"Paris, France",48.853536,2.348271,
Paris,Paris j'ai pris perpète ,Émilie Simon,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6PmaCR8icw1xZw8aYTZG4w
Paris,Paris jardin ,Nicole Louvier,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5G3anCEA0R2df9NqRP3Na1
Paris,"Paris, je ne t'aime plus ",Léo Ferré,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1ksKOxaRZGE1QFsIIqOdZ3
Paris,Paris je t'aime d'amour ,Maurice Chevalier ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/76AFI1xQ439o5gUwMNGqpg
Paris,"Paris, journée ordinaire ",Hamou Cheheb ,"Paris, France",48.853536,2.348271,
Paris,"Paris, la belle affaire ! ",Hélène Martin,"Paris, France",48.853536,2.348271,
Paris,Paris la nuit ,Charles Perrey et Hortense JouveNote ,"Paris, France",48.853536,2.348271,
Paris,Paris la nuit ,Jean-Claude Séférian ,"Paris, France",48.853536,2.348271,
Paris,Paris la nuit ,Renée Caron,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3ZAtOK9uuqxhwCkkMu8N13
Paris,Paris la nuit ,Amanda Lear,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4hvjo9NtTOPJxPsrS9AlJq
Paris,Paris la nuit / Sélavy ,Charlélie Couture,"Paris, France",48.853536,2.348271,
Paris,Paris Latino ,Bandolero ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3LCup59DMpM3r6fwQsZMYs
Paris,Paris le désert ,Giani Esposito ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/2ZrGROcWKHfqg15yyY1rQ4
Paris,"Paris, le Flore ",Étienne Daho,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3G1W3kR6FIT70h0fGMmdVe
Paris,Paris le soir ,Pigalle,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/6LOrC6SdDxV5XRxKUtiYfK
Paris,Paris-Lumière ,François Béranger,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3NwTHjToJS5WbCUjeku4Uq
Paris,"Paris, ma belle ",Arno Santamaria,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/4gPnBFIcspnyW5NL2DPfF6
Paris,Paris ma campagne à Paris ,Sophie Makhno,"Paris, France",48.853536,2.348271,
Paris,Paris ma rose ,Serge Reggiani ,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/5Z29DhtBtGiWu9sUepLpQM
Paris,Paris Mai ,Claude Nougaro,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7dG5u8oTpfaWtzgqunfBfQ
Paris,Paris Maquis ,Métal Urbain,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/0LlmgC8D7zhv1hj5RgCbO2
Paris,Paris Match ,The Style Council,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/7aqpQ5B6SJtcpfFKoF6T0W
Paris,Paris mes amours ,Joséphine Baker,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/1AgTyT9RhQQ0LgJTYWDfOc
Paris,Paris-métis ,Yves Simon,"Paris, France",48.853536,2.348271,https://open.spotify.com/track/3tuq6fjwSjMzOXSGMX2WSA
